"","Soil.Order","Great.Group","Subgroup","Series","Horizon","Qmax.mg.kg","k.L.mg","Clay.per","Fed.g.kg","pH","OC.mg.kg","Database","County..State","Latitude","Longitude","Dataset","Alo.g.kg","Ald.g.kg","Alp.g.kg","Feo.g.kg","Fep.g.kg","Caex.cmol.kg","Silt.per","Sand.per","MAT.C","MAP.mm","Elevation.m","Reportedb.mg.kg","Estimateb","Depth.cm","BD.g.cm3","L.kg","Source.qmax","Source.k"
"1","Alfisol","Haplustalfs",NA,"Acove","Bt1",3330,0.006,15,22,5.6,3039,"NRCS","McCulloch, TX",31.0030804,-99.1812363,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"2","Alfisol","Haplustalfs",NA,"Acove","Bt2",5093,0.01,45.5,37,5.8,3671,"NRCS","McCulloch, TX",31.0030804,-99.1812363,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"3","Alfisol","Haplustalfs",NA,"Acove","Bt3",4369,0.019,54.6,45,5.7,2934,"NRCS","McCulloch, TX",31.0030804,-99.1812363,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"4","Alfisol","Haplustalfs",NA,"Acove","Cr",755,0.032,10.4,38,5.6,1615,"NRCS","McCulloch, TX",31.0030804,-99.1812363,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"5","Mollisol","Argiudolls",NA,"Aksarben","Bt1",4674,0.008,40.1,17,5.7,4936,"NRCS","Lancaster, NB",40.8450012,-96.5615005,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"6","Mollisol","Argiudolls",NA,"Aksarben","Bt2",1014,0.028,35.2,12,6,2764,"NRCS","Lancaster, NB",40.8450012,-96.5615005,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"7","Mollisol","Argiudolls",NA,"Aksarben","Bt3",2409,0.014,31.9,11,6.3,2311,"NRCS","Lancaster, NB",40.8450012,-96.5615005,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"8","Mollisol","Argiudolls",NA,"Aksarben","C",639,0.016,31.1,9,6.6,2105,"NRCS","Lancaster, NB",40.8450012,-96.5615005,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"9","Ultisol","Paleduldults",NA,"Allen","Ba",454,0.227,14.9,19,4.3,15500,"Ridge","Roane, TN",35.8,-84.5,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
"10","Ultisol","Paleduldults",NA,"Allen","E",782,0.178,20,8.7,4.1,2772,"Ridge","Roane, TN",35.8,-84.5,"Mayes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,"Reported","Reported"
